iter	Passed	Remaining
0	19	1968
1	23	1131
2	25	837
3	28	693
4	32	612
5	37	589
6	40	542
7	43	505
8	47	476
9	53	478
10	56	456
11	59	435
12	62	418
13	68	420
14	71	406
15	74	393
16	77	380
17	82	374
18	87	371
19	90	360
20	93	350
21	96	342
22	102	342
23	105	333
24	108	325
25	111	317
26	117	318
27	120	311
28	124	304
29	127	297
30	133	297
31	136	290
32	139	283
33	142	277
34	149	277
35	152	270
36	155	264
37	158	258
38	161	252
39	167	250
40	170	244
41	173	239
42	176	233
43	182	232
44	185	226
45	188	221
46	191	216
47	197	213
48	200	208
49	203	203
50	206	198
51	211	194
52	215	191
53	218	186
54	222	181
55	225	177
56	231	174
57	234	169
58	237	164
59	241	160
60	247	158
61	250	153
62	253	148
63	256	144
64	262	141
65	265	136
66	268	132
67	271	127
68	277	124
69	280	120
70	283	115
71	286	111
72	290	107
73	295	103
74	298	99
75	301	95
76	305	91
77	311	87
78	314	83
79	317	79
80	320	75
81	325	71
82	328	67
83	331	63
84	335	59
85	338	55
86	344	51
87	347	47
88	350	43
89	353	39
90	359	35
91	362	31
92	365	27
93	368	23
94	374	19
95	377	15
96	380	11
97	384	7
98	388	3
99	392	0
